,filter/model,classifier,encoder,feature_names,accuracy,precision,recall,ppv,accuracy_0.5,precision_0.5,recall_0.5,ppv_0.5,accuracy_0.2,precision_0.2,recall_0.2,ppv_0.2,accuracy_0.01,precision_0.01,recall_0.01,ppv_0.01,accuracy_0.001,precision_0.001,recall_0.001,ppv_0.001,accuracy_0.0001,precision_0.0001,recall_0.0001,ppv_0.0001
0,choi,lr,cat,src_p,0.999660172179429,0.9995469988674972,0.9997734481196194,0.9995469988674972,1.0,1.0,1.0,1.0,0.9995468962392388,0.9977401129943503,1.0,0.9910213243546577,0.9995468962392388,0.9565217391304348,1.0,0.18181818181818182,0.9995468962392388,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
1,choi,lr,cat,response_code,0.999660172179429,0.9995469988674972,0.9997734481196194,0.9995469988674972,1.0,1.0,1.0,1.0,0.9995468962392388,0.9977401129943503,1.0,0.9910213243546577,0.9995468962392388,0.9565217391304348,1.0,0.18181818181818182,0.9995468962392388,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
2,choi,lr,cat,content_length,0.999660172179429,0.9995469988674972,0.9997734481196194,0.9995469988674972,1.0,1.0,1.0,1.0,0.9995468962392388,0.9977401129943503,1.0,0.9910213243546577,0.9995468962392388,0.9565217391304348,1.0,0.18181818181818182,0.9995468962392388,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
3,choi,lr,cat,time,0.999660172179429,0.9995469988674972,0.9997734481196194,0.9995469988674972,1.0,1.0,1.0,1.0,0.9995468962392388,0.9977401129943503,1.0,0.9910213243546577,0.9995468962392388,0.9565217391304348,1.0,0.18181818181818182,0.9995468962392388,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
4,choi,lr,cat,request_uri,0.999660172179429,0.9995469988674972,0.9997734481196194,0.9995469988674972,1.0,1.0,1.0,1.0,0.9995468962392388,0.9977401129943503,1.0,0.9910213243546577,0.9995468962392388,0.9565217391304348,1.0,0.18181818181818182,0.9995468962392388,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
5,choi,lr,cat,user_agent,0.999660172179429,0.9995469988674972,0.9997734481196194,0.9995469988674972,1.0,1.0,1.0,1.0,0.9995468962392388,0.9977401129943503,1.0,0.9910213243546577,0.9995468962392388,0.9565217391304348,1.0,0.18181818181818182,0.9995468962392388,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
6,choi,lr,cat,content_type,0.999660172179429,0.9995469988674972,0.9997734481196194,0.9995469988674972,1.0,1.0,1.0,1.0,0.9995468962392388,0.9977401129943503,1.0,0.9910213243546577,0.9995468962392388,0.9565217391304348,1.0,0.18181818181818182,0.9995468962392388,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
7,choi,lr,cat,file_data,0.999660172179429,0.9995469988674972,0.9997734481196194,0.9995469988674972,1.0,1.0,1.0,1.0,0.9995468962392388,0.9977401129943503,1.0,0.9910213243546577,0.9995468962392388,0.9565217391304348,1.0,0.18181818181818182,0.9995468962392388,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
8,choi,lr,cat,request_uri_query,0.999660172179429,0.9995469988674972,0.9997734481196194,0.9995469988674972,1.0,1.0,1.0,1.0,0.9995468962392388,0.9977401129943503,1.0,0.9910213243546577,0.9995468962392388,0.9565217391304348,1.0,0.18181818181818182,0.9995468962392388,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
9,choi,lr,cat,flow_freq,0.999660172179429,0.9995469988674972,0.9997734481196194,0.9995469988674972,1.0,1.0,1.0,1.0,0.9995468962392388,0.9977401129943503,1.0,0.9910213243546577,0.9995468962392388,0.9565217391304348,1.0,0.18181818181818182,0.9995468962392388,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
10,fisher,lr,cat,dst_p,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9995471014492754,1.0,0.9995471014492754,0.9995468962392388,0.9988674971687429,0.9988674971687429,0.9954853273137697,0.9997734481196194,0.9777777777777777,1.0,0.3076923076923077,0.9997734481196194,0.8,1.0,0.0039880358923230315,0.9997734481196194,0.0,0.0,0.0
11,fisher,lr,cat,response_code,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9995471014492754,1.0,0.9995471014492754,0.9995468962392388,0.9988674971687429,0.9988674971687429,0.9954853273137697,0.9997734481196194,0.9777777777777777,1.0,0.3076923076923077,0.9997734481196194,0.8,1.0,0.0039880358923230315,0.9997734481196194,0.0,0.0,0.0
12,fisher,lr,cat,response_line,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9995471014492754,1.0,0.9995471014492754,0.9995468962392388,0.9988674971687429,0.9988674971687429,0.9954853273137697,0.9997734481196194,0.9777777777777777,1.0,0.3076923076923077,0.9997734481196194,0.8,1.0,0.0039880358923230315,0.9997734481196194,0.0,0.0,0.0
13,fisher,lr,cat,time,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9995471014492754,1.0,0.9995471014492754,0.9995468962392388,0.9988674971687429,0.9988674971687429,0.9954853273137697,0.9997734481196194,0.9777777777777777,1.0,0.3076923076923077,0.9997734481196194,0.8,1.0,0.0039880358923230315,0.9997734481196194,0.0,0.0,0.0
14,fisher,lr,cat,request_uri,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9995471014492754,1.0,0.9995471014492754,0.9995468962392388,0.9988674971687429,0.9988674971687429,0.9954853273137697,0.9997734481196194,0.9777777777777777,1.0,0.3076923076923077,0.9997734481196194,0.8,1.0,0.0039880358923230315,0.9997734481196194,0.0,0.0,0.0
15,fisher,lr,cat,user_agent,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9995471014492754,1.0,0.9995471014492754,0.9995468962392388,0.9988674971687429,0.9988674971687429,0.9954853273137697,0.9997734481196194,0.9777777777777777,1.0,0.3076923076923077,0.9997734481196194,0.8,1.0,0.0039880358923230315,0.9997734481196194,0.0,0.0,0.0
16,fisher,lr,cat,server,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9995471014492754,1.0,0.9995471014492754,0.9995468962392388,0.9988674971687429,0.9988674971687429,0.9954853273137697,0.9997734481196194,0.9777777777777777,1.0,0.3076923076923077,0.9997734481196194,0.8,1.0,0.0039880358923230315,0.9997734481196194,0.0,0.0,0.0
17,fisher,lr,cat,file_data,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9995471014492754,1.0,0.9995471014492754,0.9995468962392388,0.9988674971687429,0.9988674971687429,0.9954853273137697,0.9997734481196194,0.9777777777777777,1.0,0.3076923076923077,0.9997734481196194,0.8,1.0,0.0039880358923230315,0.9997734481196194,0.0,0.0,0.0
18,fisher,lr,cat,x_forwarded_for,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9995471014492754,1.0,0.9995471014492754,0.9995468962392388,0.9988674971687429,0.9988674971687429,0.9954853273137697,0.9997734481196194,0.9777777777777777,1.0,0.3076923076923077,0.9997734481196194,0.8,1.0,0.0039880358923230315,0.9997734481196194,0.0,0.0,0.0
19,fisher,lr,cat,flow_freq,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9995471014492754,1.0,0.9995471014492754,0.9995468962392388,0.9988674971687429,0.9988674971687429,0.9954853273137697,0.9997734481196194,0.9777777777777777,1.0,0.3076923076923077,0.9997734481196194,0.8,1.0,0.0039880358923230315,0.9997734481196194,0.0,0.0,0.0
20,mutinf,lr,cat,src_p,0.9998867240598097,1.0,0.9997734481196194,1.0,0.9997734481196194,1.0,0.9995468962392388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
21,mutinf,lr,cat,dst_p,0.9998867240598097,1.0,0.9997734481196194,1.0,0.9997734481196194,1.0,0.9995468962392388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
22,mutinf,lr,cat,response_code,0.9998867240598097,1.0,0.9997734481196194,1.0,0.9997734481196194,1.0,0.9995468962392388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
23,mutinf,lr,cat,response_line,0.9998867240598097,1.0,0.9997734481196194,1.0,0.9997734481196194,1.0,0.9995468962392388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
24,mutinf,lr,cat,content_length,0.9998867240598097,1.0,0.9997734481196194,1.0,0.9997734481196194,1.0,0.9995468962392388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
25,mutinf,lr,cat,time,0.9998867240598097,1.0,0.9997734481196194,1.0,0.9997734481196194,1.0,0.9995468962392388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
26,mutinf,lr,cat,request_method,0.9998867240598097,1.0,0.9997734481196194,1.0,0.9997734481196194,1.0,0.9995468962392388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
27,mutinf,lr,cat,request_uri,0.9998867240598097,1.0,0.9997734481196194,1.0,0.9997734481196194,1.0,0.9995468962392388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
28,mutinf,lr,cat,user_agent,0.9998867240598097,1.0,0.9997734481196194,1.0,0.9997734481196194,1.0,0.9995468962392388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
29,mutinf,lr,cat,server,0.9998867240598097,1.0,0.9997734481196194,1.0,0.9997734481196194,1.0,0.9995468962392388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
30,mutinf,lr,cat,content_type,0.9998867240598097,1.0,0.9997734481196194,1.0,0.9997734481196194,1.0,0.9995468962392388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
31,mutinf,lr,cat,file_data,0.9998867240598097,1.0,0.9997734481196194,1.0,0.9997734481196194,1.0,0.9995468962392388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
32,mutinf,lr,cat,x_forwarded_for,0.9998867240598097,1.0,0.9997734481196194,1.0,0.9997734481196194,1.0,0.9995468962392388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
33,mutinf,lr,cat,transfer_encoding,0.9998867240598097,1.0,0.9997734481196194,1.0,0.9997734481196194,1.0,0.9995468962392388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
34,mutinf,lr,cat,flow_freq,0.9998867240598097,1.0,0.9997734481196194,1.0,0.9997734481196194,1.0,0.9995468962392388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
35,choi,lr,cat,src_p,0.9992070684186679,0.9995465880752664,0.998867240598097,0.9995465880752664,0.9993958616523184,0.9990937924784775,0.9990937924784775,0.9990937924784775,0.9990560694732867,0.9977324263038548,0.9966024915062288,0.990990990990991,0.9995513683266039,0.9565217391304348,1.0,0.18181818181818182,0.9995473064735174,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
36,choi,lr,cat,response_code,0.9992070684186679,0.9995465880752664,0.998867240598097,0.9995465880752664,0.9993958616523184,0.9990937924784775,0.9990937924784775,0.9990937924784775,0.9990560694732867,0.9977324263038548,0.9966024915062288,0.990990990990991,0.9995513683266039,0.9565217391304348,1.0,0.18181818181818182,0.9995473064735174,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
37,choi,lr,cat,content_length,0.9992070684186679,0.9995465880752664,0.998867240598097,0.9995465880752664,0.9993958616523184,0.9990937924784775,0.9990937924784775,0.9990937924784775,0.9990560694732867,0.9977324263038548,0.9966024915062288,0.990990990990991,0.9995513683266039,0.9565217391304348,1.0,0.18181818181818182,0.9995473064735174,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
38,choi,lr,cat,time,0.9992070684186679,0.9995465880752664,0.998867240598097,0.9995465880752664,0.9993958616523184,0.9990937924784775,0.9990937924784775,0.9990937924784775,0.9990560694732867,0.9977324263038548,0.9966024915062288,0.990990990990991,0.9995513683266039,0.9565217391304348,1.0,0.18181818181818182,0.9995473064735174,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
39,choi,lr,cat,request_method,0.9992070684186679,0.9995465880752664,0.998867240598097,0.9995465880752664,0.9993958616523184,0.9990937924784775,0.9990937924784775,0.9990937924784775,0.9990560694732867,0.9977324263038548,0.9966024915062288,0.990990990990991,0.9995513683266039,0.9565217391304348,1.0,0.18181818181818182,0.9995473064735174,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
40,choi,lr,cat,request_uri,0.9992070684186679,0.9995465880752664,0.998867240598097,0.9995465880752664,0.9993958616523184,0.9990937924784775,0.9990937924784775,0.9990937924784775,0.9990560694732867,0.9977324263038548,0.9966024915062288,0.990990990990991,0.9995513683266039,0.9565217391304348,1.0,0.18181818181818182,0.9995473064735174,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
41,choi,lr,cat,user_agent,0.9992070684186679,0.9995465880752664,0.998867240598097,0.9995465880752664,0.9993958616523184,0.9990937924784775,0.9990937924784775,0.9990937924784775,0.9990560694732867,0.9977324263038548,0.9966024915062288,0.990990990990991,0.9995513683266039,0.9565217391304348,1.0,0.18181818181818182,0.9995473064735174,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
42,choi,lr,cat,server,0.9992070684186679,0.9995465880752664,0.998867240598097,0.9995465880752664,0.9993958616523184,0.9990937924784775,0.9990937924784775,0.9990937924784775,0.9990560694732867,0.9977324263038548,0.9966024915062288,0.990990990990991,0.9995513683266039,0.9565217391304348,1.0,0.18181818181818182,0.9995473064735174,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
43,choi,lr,cat,content_type,0.9992070684186679,0.9995465880752664,0.998867240598097,0.9995465880752664,0.9993958616523184,0.9990937924784775,0.9990937924784775,0.9990937924784775,0.9990560694732867,0.9977324263038548,0.9966024915062288,0.990990990990991,0.9995513683266039,0.9565217391304348,1.0,0.18181818181818182,0.9995473064735174,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0
