alerts,apiInfoId,apiType,destinationIP,destinationPort,hasProvidedSpecDiff,hasReconstructedSpecDiff,hostSpecName,id,method,path,requestTime,sourceIP,specDiffType,statusCode,time,query
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6255,GET,/carts/fQYXncVB6iCwnwZHj-Emr0EdJxMXYyS-/items,2023-01-23T11:34:21.122Z,192.168.157.154,,200,2023-01-23T11:34:21.137Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6254,GET,/catalogue,2023-01-23T11:34:21.060Z,192.168.157.154,,200,2023-01-23T11:34:21.090Z,page=1&size=6&tags=short
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6253,GET,/tags,2023-01-23T11:34:21.055Z,192.168.157.154,,200,2023-01-23T11:34:21.073Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6252,GET,/catalogue/size,2023-01-23T11:34:21.056Z,192.168.157.154,,200,2023-01-23T11:34:21.071Z,tags=short
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6251,GET,/carts/fQYXncVB6iCwnwZHj-Emr0EdJxMXYyS-/items,2023-01-23T11:34:19.527Z,192.168.157.154,,200,2023-01-23T11:34:19.739Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6250,GET,/catalogue,2023-01-23T11:34:19.534Z,192.168.157.154,,200,2023-01-23T11:34:19.545Z,sort=id&size=3&tags=magic
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6249,GET,/catalogue/03fef6ac-1896-4ce8-bd69-b798f85c6e0b,2023-01-23T11:34:19.464Z,192.168.157.154,,200,2023-01-23T11:34:19.478Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6248,GET,/carts/fQYXncVB6iCwnwZHj-Emr0EdJxMXYyS-/items,2023-01-23T11:34:05.961Z,192.168.157.154,,200,2023-01-23T11:34:18.667Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6238,GET,/catalogue,2023-01-23T11:34:05.930Z,192.168.157.154,,200,2023-01-23T11:34:06.140Z,size=5
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6237,POST,/carts/hrMSd9h1b3XgDefNtiWJdOsjhyBIOVbk/items,2023-01-19T13:08:57.284Z,192.168.157.162,,201,2023-01-19T13:08:57.457Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6236,GET,/catalogue/3395a43e-2d88-40de-b95f-e00e1502085b,2023-01-19T13:08:57.245Z,192.168.157.162,,200,2023-01-19T13:08:57.285Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6235,GET,/catalogue,2023-01-19T13:08:55.604Z,192.168.157.162,,200,2023-01-19T13:08:55.610Z,tags=black%2Cmagic%2Cgreen%2Cblack%2Cmagic%2Csport&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6234,GET,/carts/hrMSd9h1b3XgDefNtiWJdOsjhyBIOVbk/items,2023-01-19T13:08:53.108Z,192.168.157.162,,200,2023-01-19T13:08:53.132Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6233,GET,/catalogue,2023-01-19T13:08:52.869Z,192.168.157.162,,200,2023-01-19T13:08:52.877Z,tags=action%2Cbrown%2Cbrown&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6232,GET,/catalogue,2023-01-19T13:08:49.987Z,192.168.157.162,,200,2023-01-19T13:08:50.010Z,tags=brown%2Cmagic%2Cblue%2Cskin%2Cgeek&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6231,POST,/carts/hrMSd9h1b3XgDefNtiWJdOsjhyBIOVbk/items,2023-01-19T13:08:49.505Z,192.168.157.162,,201,2023-01-19T13:08:49.669Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6230,GET,/catalogue/808a2de1-1aaa-4c25-a9b9-6612e8f29a38,2023-01-19T13:08:49.469Z,192.168.157.162,,200,2023-01-19T13:08:49.501Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6229,GET,/catalogue,2023-01-19T13:08:46.538Z,192.168.157.162,,200,2023-01-19T13:08:46.573Z,tags=&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6228,GET,/catalogue,2023-01-19T13:08:44.669Z,192.168.157.162,,200,2023-01-19T13:08:44.685Z,tags=black%2Cformal%2Cmagic%2Cbrown&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6227,GET,/catalogue,2023-01-19T13:08:43.839Z,192.168.157.162,,200,2023-01-19T13:08:43.846Z,tags=green%2Csport%2Cmagic%2Cmagic%2Csport%2Cblack%2Cred%2Caction&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6226,GET,/catalogue,2023-01-19T13:08:40.810Z,192.168.157.162,,200,2023-01-19T13:08:40.826Z,tags=black%2Caction&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6225,GET,/catalogue,2023-01-19T13:08:39.676Z,192.168.157.162,,200,2023-01-19T13:08:39.697Z,tags=action%2Cskin%2Cred%2Cbrown%2Caction&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6224,GET,/catalogue,2023-01-19T13:08:38.380Z,192.168.157.162,,200,2023-01-19T13:08:38.492Z,tags=black%2Cformal%2Cblack%2Cgreen&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6223,POST,/carts/hrMSd9h1b3XgDefNtiWJdOsjhyBIOVbk/items,2023-01-19T13:08:36.808Z,192.168.157.162,,201,2023-01-19T13:08:37.696Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6222,GET,/catalogue/d3588630-ad8e-49df-bbd7-3167f7efb246,2023-01-19T13:08:36.362Z,192.168.157.162,,200,2023-01-19T13:08:37.448Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6221,GET,/catalogue,2023-01-19T13:08:34.862Z,192.168.157.162,,200,2023-01-19T13:08:35.167Z,tags=red%2Caction%2Cgeek&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6220,POST,/carts/hrMSd9h1b3XgDefNtiWJdOsjhyBIOVbk/items,2023-01-19T13:08:32.027Z,192.168.157.162,,201,2023-01-19T13:08:32.141Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6219,GET,/catalogue/d3588630-ad8e-49df-bbd7-3167f7efb246,2023-01-19T13:08:32.008Z,192.168.157.162,,200,2023-01-19T13:08:32.020Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6218,GET,/catalogue,2023-01-19T13:08:30.806Z,192.168.157.162,,200,2023-01-19T13:08:30.901Z,tags=action&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6217,GET,/catalogue,2023-01-19T13:08:27.875Z,192.168.157.162,,200,2023-01-19T13:08:27.885Z,tags=blue%2Caction&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6216,GET,/catalogue,2023-01-19T13:08:27.059Z,192.168.157.162,,200,2023-01-19T13:08:27.080Z,tags=red%2Cmagic%2Cformal%2Cblack%2Caction%2Cformal%2Csport&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6215,POST,/carts/hrMSd9h1b3XgDefNtiWJdOsjhyBIOVbk/items,2023-01-19T13:08:24.934Z,192.168.157.162,,201,2023-01-19T13:08:25.002Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6214,GET,/catalogue/837ab141-399e-4c1f-9abc-bace40296bac,2023-01-19T13:08:24.925Z,192.168.157.162,,200,2023-01-19T13:08:24.933Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6213,GET,/catalogue,2023-01-19T13:08:24.660Z,192.168.157.162,,200,2023-01-19T13:08:24.670Z,tags=magic%2Cgreen%2Cbrown%2Csport%2Cbrown%2Caction%2Cskin%2Cgreen%2Cgeek&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6212,GET,/catalogue,2023-01-19T13:08:22.723Z,192.168.157.162,,200,2023-01-19T13:08:22.751Z,tags=red&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6211,GET,/catalogue,2023-01-19T13:08:20.685Z,192.168.157.162,,200,2023-01-19T13:08:20.697Z,tags=green%2Cgeek%2Cblue%2Cgeek%2Cmagic%2Cgeek%2Cmagic%2Csport&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6210,POST,/carts/hrMSd9h1b3XgDefNtiWJdOsjhyBIOVbk/items,2023-01-19T13:08:20.194Z,192.168.157.162,,201,2023-01-19T13:08:20.282Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6209,GET,/catalogue/837ab141-399e-4c1f-9abc-bace40296bac,2023-01-19T13:08:20.108Z,192.168.157.162,,200,2023-01-19T13:08:20.225Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6208,GET,/carts/hrMSd9h1b3XgDefNtiWJdOsjhyBIOVbk/items,2023-01-19T13:08:17.337Z,192.168.157.162,,200,2023-01-19T13:08:17.514Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6207,GET,/catalogue,2023-01-19T13:08:16.042Z,192.168.157.162,,200,2023-01-19T13:08:17.452Z,tags=black%2Cgreen%2Cgeek%2Cred%2Cblack%2Cskin%2Cmagic%2Cblue%2Cgreen%2Csport%2Csport&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6206,GET,/catalogue,2023-01-19T13:08:12.495Z,192.168.157.162,,200,2023-01-19T13:08:12.572Z,tags=action%2Cgreen&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6205,GET,/catalogue,2023-01-19T13:08:08.248Z,192.168.157.162,,200,2023-01-19T13:08:10.746Z,tags=&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6204,GET,/catalogue,2023-01-19T13:08:05.394Z,192.168.157.162,,200,2023-01-19T13:08:05.399Z,tags=formal%2Cskin&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6203,POST,/carts/hrMSd9h1b3XgDefNtiWJdOsjhyBIOVbk/items,2023-01-19T13:08:05.055Z,192.168.157.162,,201,2023-01-19T13:08:05.165Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6202,GET,/catalogue/808a2de1-1aaa-4c25-a9b9-6612e8f29a38,2023-01-19T13:08:05.043Z,192.168.157.162,,200,2023-01-19T13:08:05.053Z,
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6201,GET,/catalogue,2023-01-19T13:08:03.459Z,192.168.157.162,,200,2023-01-19T13:08:03.466Z,tags=blue%2Cred%2Cskin%2Cred%2Cblack%2Caction%2Cbrown%2Cbrown%2Cbrown&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6200,GET,/catalogue,2023-01-19T13:08:02.305Z,192.168.157.162,,200,2023-01-19T13:08:02.310Z,tags=brown%2Cgeek%2Cgreen%2Csport%2Cblack%2Cgeek%2Cbrown%2Cgeek%2Cred%2Cred%2Cskin&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6199,GET,/catalogue,2023-01-19T13:08:00.035Z,192.168.157.162,,200,2023-01-19T13:08:00.041Z,tags=formal%2Cbrown%2Cblue%2Cgreen&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6198,GET,/catalogue,2023-01-19T13:07:58.861Z,192.168.157.162,,200,2023-01-19T13:07:58.877Z,tags=red&page=1&size=100
"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6197,GET,/catalogue,2023-01-19T13:07:58.567Z,192.168.157.162,,200,2023-01-19T13:07:58.599Z,tags=red%2Caction%2Cformal%2Csport&page=1&size=100
